Race,Cause,Deployed,Retreated,FullLaps,Circuit,CauseType,CircuitType
2005 Chinese Grand Prix,Loose drain cover,19,25,5,Shanghai,O,2
2005 Chinese Grand Prix,Accident,29,35,5,Shanghai,A,2
2006 Australian Grand Prix,Accident,1,3,1,Melbourne Grand Prix Circuit,A,1
2006 Australian Grand Prix,Accident,8,10,1,Melbourne Grand Prix Circuit,A,1
2006 Australian Grand Prix,Accident,32,35,2,Melbourne Grand Prix Circuit,A,1
2005 Belgian Grand Prix,Accident,11,14,2,Spa-Francorchamps,A,1
2006 Monaco Grand Prix,Stranded car,47,49,1,Circuit de Monaco,S,3
2006 San Marino Grand Prix,Accident,1,3,1,Autodromo Enzo e Dino Ferrari,A,2
2006 British Grand Prix,Accident,2,4,1,Silverstone,A,1
2006 Canadian Grand Prix,Accident,2,4,1,Circuit Gilles Villeneuve,A,2
2006 United States Grand Prix,Two accidents,1,7,5,Indianapolis Motor Speedway,A,3
2006 Canadian Grand Prix,Accident,61,64,2,Circuit Gilles Villeneuve,A,2
2006 Hungarian Grand Prix,Accident,26,31,4,Hungaroring,A,1
2006 Turkish Grand Prix,Stranded car,13,16,2,Istanbul,S,1
2006 Australian Grand Prix,Accident,36,40,3,Melbourne Grand Prix Circuit,A,1
2006 Brazilian Grand Prix,Accident,2,6,3,Interlagos,A,3
2007 Canadian Grand Prix,Accident,22,26,3,Circuit Gilles Villeneuve,A,2
2007 Canadian Grand Prix,Accident,26,34,7,Circuit Gilles Villeneuve,A,2
2007 Bahrain Grand Prix,Accident,1,4,2,Bahrain,A,1
2007 Canadian Grand Prix,Debris from accident,50,54,3,Circuit Gilles Villeneuve,D,2
2007 Canadian Grand Prix,Accident,55,60,4,Circuit Gilles Villeneuve,A,2
2007 European Grand Prix,Accidents,3,7,3,Nurburgring,A,2
2007 Japanese Grand Prix,Rain,1,20,19,Susuka,R,3
2007 Japanese Grand Prix,Accident,41,48,6,Susuka,A,3
2007 Italian Grand Prix,Accident,1,7,5,Monza,A,3
2008 Australian Grand Prix,Accident,1,3,1,Melbourne Grand Prix Circuit,A,1
2008 Australian Grand Prix,Accident,26,30,3,Melbourne Grand Prix Circuit,A,1
2008 Australian Grand Prix,Accident,44,47,2,Melbourne Grand Prix Circuit,A,1
2008 Spanish Grand Prix,Accident,22,29,6,Circuit de Catalunya,A,3
2008 Turkish Grand Prix,Accident,1,3,1,Istanbul,A,1
2008 Monaco Grand Prix,Accident,8,11,2,Circuit de Monaco,A,3
2008 Canadian Grand Prix,Stranded car,16,22,5,Circuit Gilles Villeneuve,S,2
2008 Monaco Grand Prix,Accident,62,67,4,Circuit de Monaco,A,3
2008 German Grand Prix,Accident,36,42,5,Hockenheimring,A,1
2008 Singapore Grand Prix,Accident,14,20,5,Marina Bay,A,3
2008 Singapore Grand Prix,Accident,46,53,6,Marina Bay,A,3
2008 Italian Grand Prix,Rain,1,3,2,Monza,R,3
2008 Spanish Grand Prix,Accident,1,4,2,Circuit de Catalunya,A,3
2008 Brazilian Grand Prix,Accident,1,4,2,Interlagos,A,3
2009 Australian Grand Prix,Accident,55,,3,Melbourne Grand Prix Circuit,A,1
2009 Australian Grand Prix,Accident,19,24,4,Melbourne Grand Prix Circuit,A,1
2009 Malaysian Grand Prix,Rain,31,,1,Sepang,R,1
2009 Spanish Grand Prix,Accident,1,5,3,Circuit de Catalunya,A,3
2009 Chinese Grand Prix,Rain,1,8,7,Shanghai,R,2
2009 Belgian Grand Prix,Accident,1,5,3,Spa-Francorchamps,A,1
2009 Italian Grand Prix,Accident,53,,1,Monza,A,3
2009 Japanese Grand Prix,Accident,1,7,5,Susuka,A,3
2009 Brazilian Grand Prix,Accident,1,6,5,Interlagos,A,3
2009 Singapore Grand Prix,Accident,21,27,5,Marina Bay,A,3
2009 Chinese Grand Prix,Debris from accident,18,22,3,Shanghai,D,2
2010 Chinese Grand Prix,Debris from accident,22,26,3,Shanghai,D,2
2010 Chinese Grand Prix,Accident,1,4,2,Shanghai,A,2
2010 Monaco Grand Prix,Accident,31,34,2,Circuit de Monaco,A,3
2010 Monaco Grand Prix,Loose drain cover,43,46,2,Circuit de Monaco,O,3
2010 Monaco Grand Prix,Accident,75,,3,Circuit de Monaco,A,3
2010 Monaco Grand Prix,Accident,1,7,5,Circuit de Monaco,A,3
2010 British Grand Prix,Debris from car,28,31,2,Silverstone,D,1
2010 Australian Grand Prix,Accident,2,5,2,Melbourne Grand Prix Circuit,A,1
2010 European Grand Prix,Accident,10,15,4,Valencia,A,3
2010 Belgian Grand Prix,Accident,38,41,2,Spa-Francorchamps,A,1
2010 Singapore Grand Prix,Accident,3,6,2,Marina Bay,A,3
2010 Singapore Grand Prix,Accident,31,36,4,Marina Bay,A,3
2010 Japanese Grand Prix,Accident,1,7,5,Susuka,A,3
2010 Korean Grand Prix,Rain,1,4,3,Korea,R,3
2010 Korean Grand Prix,Rain,4,18,14,Korea,R,3
2010 Korean Grand Prix,Accident,19,24,4,Korea,A,3
2010 Korean Grand Prix,Accident,31,35,3,Korea,A,3
2010 Brazilian Grand Prix,Accident,51,56,4,Interlagos,A,3
2010 Belgian Grand Prix,Accident,2,4,1,Spa-Francorchamps,A,1
2010 Abu Dhabi Grand Prix,Accident,1,6,4,Yas Marina,A,1
2011 Monaco Grand Prix,Accident,35,39,3,Circuit de Monaco,A,3
2011 Canadian Grand Prix,Rain,1,6,5,Circuit Gilles Villeneuve,R,2
2011 Canadian Grand Prix,Accident,8,13,4,Circuit Gilles Villeneuve,A,2
2011 Canadian Grand Prix,Rain,20,26,6,Circuit Gilles Villeneuve,R,2
2010 Hungarian Grand Prix,Debris from car,15,18,2,Hungaroring,D,1
2011 Canadian Grand Prix,Debris from accident,56,61,4,Circuit Gilles Villeneuve,D,2
2011 Canadian Grand Prix,Rain,26,34,8,Circuit Gilles Villeneuve,R,2
2011 Belgian Grand Prix,Accident,13,17,3,Spa-Francorchamps,A,1
2011 Italian Grand Prix,Accident,1,4,3,Monza,A,3
2011 Singapore Grand Prix,Accident,30,34,3,Marina Bay,A,3
2011 Japanese Grand Prix,Debris from accident,24,28,3,Susuka,D,3
2011 Korean Grand Prix,Accident,17,21,3,Korea,A,3
2011 Canadian Grand Prix,Accident,37,40,2,Circuit Gilles Villeneuve,A,2
2012 Malaysian Grand Prix,Rain,10,15,5,Sepang,R,1
2012 Malaysian Grand Prix,Rain,6,10,4,Sepang,R,1
2012 Monaco Grand Prix,Accident,1,3,1,Circuit de Monaco,A,3
2012 European Grand Prix,Debris from accident,27,34,6,Valencia,D,3
2012 Singapore Grand Prix,Accident,30,32,1,Marina Bay,A,3
2012 Belgian Grand Prix,Accident,1,6,4,Spa-Francorchamps,A,1
2012 Singapore Grand Prix,Accident,33,43,9,Marina Bay,A,3
2012 Abu Dhabi Grand Prix,Accident,9,15,5,Yas Marina,A,1
2012 Japanese Grand Prix,Accident,1,3,1,Susuka,A,3
2012 Abu Dhabi Grand Prix,Accident,39,43,3,Yas Marina,A,1
2012 Brazilian Grand Prix,Debris,23,29,5,Interlagos,D,3
2012 Brazilian Grand Prix,Accident,70,,1,Interlagos,A,3
2012 Australian Grand Prix,Stranded car,37,42,4,Melbourne Grand Prix Circuit,S,1
2013 Monaco Grand Prix,Accident,47,48,1,Circuit de Monaco,A,3
2013 Monaco Grand Prix,Accident,62,67,4,Circuit de Monaco,A,3
2013 Monaco Grand Prix,Accident,31,39,7,Circuit de Monaco,A,3
2013 British Grand Prix,Debris from car,14,22,7,Silverstone,D,1
2013 German Grand Prix,Stranded car,23,30,6,Nurburgring,S,2
2013 Singapore Grand Prix,Accident,25,31,5,Marina Bay,A,3
2013 British Grand Prix,Stranded car,41,46,4,Silverstone,S,1
2013 Korean Grand Prix,Debris,31,37,5,Korea,D,3
2013 Korean Grand Prix,Vehicle on track,38,41,2,Korea,O,3
2013 United States Grand Prix,Accident,1,5,4,Circuit of the Americas,A,2
2014 Australian Grand Prix,Debris from car,12,16,3,Melbourne Grand Prix Circuit,D,1
1998 Austrian Grand Prix,Two accidents,1,4,2,Red Bull Ring,A,2
2014 Bahrain Grand Prix,Accident,41,48,6,Bahrain,A,1
2014 Canadian Grand Prix,Accident,1,8,6,Circuit Gilles Villeneuve,A,2
2014 British Grand Prix,Accident,1,3,1,Silverstone,A,1
2014 Hungarian Grand Prix,Two accidents,9,14,4,Hungaroring,A,1
2014 German Grand Prix,Accident,1,3,1,Hockenheimring,A,1
2014 Hungarian Grand Prix,Accident,23,28,4,Hungaroring,A,1
2014 Singapore Grand Prix,Debris from accident,31,38,6,Marina Bay,D,3
2014 Monaco Grand Prix,Accident,1,5,3,Circuit de Monaco,A,3
2014 Japanese Grand Prix,Accident,44,,4,Susuka,A,3
2014 Japanese Grand Prix,Rain,3,9,6,Susuka,R,3
2014 United States Grand Prix,Accident,1,5,3,Circuit of the Americas,A,2
2015 Australian Grand Prix,Accident,1,4,2,Melbourne Grand Prix Circuit,A,1
2015 Malaysian Grand Prix,Accident,4,7,2,Sepang,A,1
2015 Monaco Grand Prix,Accident,59,71,11,Circuit de Monaco,A,3
2015 Chinese Grand Prix,Stranded car,54,,2,Shanghai,S,2
2015 British Grand Prix,Accident,1,4,2,Silverstone,A,1
2015 Hungarian Grand Prix,Accident,43,49,5,Hungaroring,A,1
2015 Singapore Grand Prix,Man on track,37,41,3,Marina Bay,O,3
2014 Japanese Grand Prix,Rain,1,3,2,Susuka,R,3
2014 Monaco Grand Prix,Accident,26,32,5,Circuit de Monaco,A,3
2015 Russian Grand Prix,Accident,1,4,2,Sochi,A,1
2015 Russian Grand Prix,Accident,12,18,5,Sochi,A,1
2015 United States Grand Prix,Stranded car,28,33,4,Circuit of the Americas,S,2
2015 Austrian Grand Prix,Accident,1,7,5,Red Bull Ring,A,2
2015 United States Grand Prix,Accident,43,47,3,Circuit of the Americas,A,2
2015 Mexican Grand Prix,Accident,53,58,4,Autodromo Hermanos Rodriguez,A,1
2016 Russian Grand Prix,Accident,1,4,2,Sochi�,A,1
2016 Australian Grand Prix,Accident,17,20,2,Melbourne Grand Prix Circuit,A,1
2016 Austrian Grand Prix,Debris from car,27,32,4,Red Bull Ring,D,2
2016 Monaco Grand Prix,Rain,1,8,7,Circuit de Monaco,R,3
2016 Brazilian Grand Prix,Rain,1,7,6,Interlagos,R,3
2016 Mexican Grand Prix,Accident,1,4,2,Autodromo Hermanos Rodriguez,A,1
2016 Brazilian Grand Prix,Rain,21,32,11,Interlagos,R,3
2016 Chinese Grand Prix,Debris from car,4,10,5,Shanghai,D,2
2016 Brazilian Grand Prix,Accident,48,56,7,Interlagos,A,3
2016 Brazilian Grand Prix,Accident,13,20,6,Interlagos,A,3
2017 Chinese Grand Prix,Accident,4,8,3,Shanghai,A,2
2016 British Grand Prix,Rain,1,6,5,Silverstone,R,1
2017 Bahrain Grand Prix,Accident,16,18,1,Bahrain,A,1
2017 Monaco Grand Prix,Accident,60,68,7,Circuit de Monaco,A,3
2017 Canadian Grand Prix,Accident,1,4,2,Circuit Gilles Villeneuve,A,2
2017 Azerbaijan Grand Prix,Stranded car,12,17,4,Baku City Circuit,S,2
2017 Azerbaijan Grand Prix,Debris from car,17,20,2,Baku City Circuit,D,2
2017 Azerbaijan Grand Prix,Debris from accident,20,24,3,Baku City Circuit,D,2
2017 British Grand Prix,Accident,1,6,4,Silverstone,A,1
2017 Russian Grand Prix,Accident,1,4,2,Sochi,A,1
2017 Singapore Grand Prix,Accident,11,15,3,Marina Bay,A,3
2017 Singapore Grand Prix,Accident,38,42,3,Marina Bay,A,3
2017 Japanese Grand Prix,Accident,1,4,2,Susuka,A,3
2017 Brazilian Grand Prix,Accident,1,7,5,Interlagos,A,3
2018 Australian Grand Prix,Stranded car,29,32,2,Melbourne Grand Prix Circuit,S,1
2018 Chinese Grand Prix,Debris from accident,31,35,3,Shanghai,D,2
2018 Azerbaijan Grand Prix,Two accidents,1,6,4,Baku City Circuit,A,2
2018 Azerbaijan Grand Prix,Two accidents,40,48,7,Baku City Circuit,A,2
2017 Belgian Grand Prix,Debris from accident,30,35,4,Spa-Francorchamps,D,1
2018 Spanish Grand Prix,Accident,1,7,5,Circuit de Catalunya,A,3
2018 French Grand Prix,Accident,1,6,4,Circuit Paul Ricard,A,1
2018 British Grand Prix,Accident,33,38,4,Silverstone,A,1
2018 British Grand Prix,Accident,38,42,3,Silverstone,A,1
2018 German Grand Prix,Accident,52,58,5,Hockenheimring,A,1
2018 Canadian Grand Prix,Accident,1,5,3,Circuit Gilles Villeneuve,A,2
2018 Belgian Grand Prix,Accident,1,5,3,Spa-Francorchamps,A,1
2018 Italian Grand Prix,Accident,1,3,1,Monza,A,3
2018 Singapore Grand Prix,Accident,1,5,3,Marina Bay,A,3
2018 Japanese Grand Prix,Debris from accident,3,8,4,Susuka,D,3
2017 Hungarian Grand Prix,Accident,4,7,2,Hungaroring,A,1
2017 Singapore Grand Prix,Accident,1,5,3,Marina Bay,A,3
2018 Abu Dhabi Grand Prix,Accident,1,5,3,Yas Marina,A,1
2019 Bahrain Grand Prix,Two stranded cars,55,,2,Bahrain,S,1
2019 Spanish Grand Prix,Accident,46,53,6,Circuit de Catalunya,A,3
2019 Monaco Grand Prix,Debris from accident,11,16,4,Circuit de Monaco,D,3
2019 British Grand Prix,Accident,20,25,4,Silverstone,A,1
2019 German Grand Prix,Accident,57,60,2,Hockenheimring,A,1
2019 Belgian Grand Prix,Accident,1,5,3,Spa-Francorchamps,A,1
2019 Singapore Grand Prix,Debris from accident,34,41,6,Marina Bay,D,3
2019 Singapore Grand Prix,Stranded car,44,49,4,Marina Bay,S,3
2019 Singapore Grand Prix,Accident,50,53,2,Marina Bay,A,3
2019 Russian Grand Prix,Accident,2,5,2,Sochi,A,1
2019 Russian Grand Prix,Accident,30,34,3,Sochi,A,1
2019 Brazilian Grand Prix,Stranded car,54,60,5,Interlagos,S,3
2019 Brazilian Grand Prix,Accident,66,70,3,Interlagos,A,3
2020 Austrian Grand Prix,Stranded car,26,31,4,Red Bull Ring,S,2
2020 Austrian Grand Prix,Stranded car,50,55,4,Red Bull Ring,S,2
2020 Austrian Grand Prix,Stranded car,55,61,5,Red Bull Ring,S,2
2019 German Grand Prix,Accident,29,34,4,Hockenheimring,A,1
2020 British Grand Prix,Accident,2,6,3,Silverstone,A,1
2020 Styrian Grand Prix,Debris from accident,1,4,2,Red Bull Ring,D,2
2020 British Grand Prix,Accident,13,19,5,Silverstone,A,1
2020 Belgian Grand Prix,Accident,11,15,4,Spa-Francorchamps,A,1
2020 Italian Grand Prix,Accident,25,28,2,Monza,A,3
2019 German Grand Prix,Accident,2,5,2,Hockenheimring,A,1
2019 German Grand Prix,Accident,41,46,4,Hockenheimring,A,1
2020 Italian Grand Prix,Stranded car,20,24,3,Monza,S,3
2020 Tuscan Grand Prix,Accident,1,7,5,Mugello,A,1
2020 Tuscan Grand Prix,Accident,7,10,2,Mugello,A,1
2020 Tuscan Grand Prix,Accident,45,48,2,Mugello,A,1
2020 Eifel Grand Prix,Stranded car,45,50,5,Nurburgring,S,2
2020 Russian Grand Prix,Two accidents,1,6,4,Sochi,A,1
2020 Sakhir Grand Prix,Accident,1,7,5,Bahrain,A,1
2020 Sakhir Grand Prix,Accident,64,69,3,Bahrain,A,1
2020 Abu Dhabi Grand Prix,Stranded car,12,14,1,Yas Marina,S,1
2021 Bahrain Grand Prix,Accident,1,4,2,Bahrain,A,1
2020 Bahrain Grand Prix,Stranded car,54,,3,Bahrain,S,1
2021 Emilia Romagna Grand Prix,Two accidents,2,7,4,Autodromo Enzo e Dino Ferrari,A,2
2020 Emilia Romagna Grand Prix,Accident,51,58,5,Autodromo Enzo e Dino Ferrari,A,2
2020 Bahrain Grand Prix,Accident,2,9,6,Bahrain,A,1
2021 Azerbaijan Grand Prix,Accident,47,49,1,Baku City Circuit,A,2
2021 Austrian Grand Prix,Stranded car,1,4,2,Red Bull Ring,S,2
2021 Hungarian Grand Prix,Accident,1,2,1,Hungaroring,A,1
2021 Spanish Grand Prix,Stranded car,8,11,2,Circuit de Catalunya,S,3
2021 Belgian Grand Prix,Rain,1,,2,Spa-Francorchamps,R,1
2021 Italian Grand Prix,Accident,26,32,5,Monza,A,3
2021 Mexico City Grand Prix,Accident,1,5,3,Autodromo Hermanos Rodriguez,A,1
2021 Portuguese Grand Prix,Accident,2,7,4,Algarve,A,3
2021 Azerbaijan Grand Prix,Accident,32,36,3,Baku City Circuit,A,2
2022 Bahrain Grand Prix,Stranded car,46,51,4,Bahrain,S,1
2021 Abu Dhabi Grand Prix,Accident,54,58,3,Yas Marina,A,1
2022 Saudi Arabian Grand Prix,Stranded car,16,21,4,Jeddah Corniche Circuit,S,3
2022 Australian Grand Prix,Stranded car,4,7,2,Melbourne Grand Prix Circuit,S,1
2021 Sao Paulo Grand Prix,Debris from accident,6,10,3,Interlagos,D,3
2022 Australian Grand Prix,Stranded car,24,27,3,Melbourne Grand Prix Circuit,S,1
2022 Emilia Romagna Grand Prix,Stranded car,1,5,4,Autodromo Enzo e Dino Ferrari,S,2
2022 Monaco Grand Prix,Stranded car,27,33,5,Circuit de Monaco,S,3
2022 Monaco Grand Prix,Rain,1,3,1,Circuit de Monaco,R,3
2022 Canadian Grand Prix,Stranded car,49,55,5,Circuit Gilles Villeneuve,S,2
2022 French Grand Prix,Stranded car,18,21,2,Circuit Paul Ricard,S,1
2022 British Grand Prix,Stranded car,39,43,4,Silverstone,S,1
2021 Saudi Arabian Grand Prix,Accident,10,15,4,Jeddah Corniche Circuit,A,3
2022 Belgian Grand Prix,Stranded car,2,5,3,Spa-Francorchamps,S,1
2022 Dutch Grand Prix,Stranded car,56,61,4,Zandvoort,S,3
2022 Italian Grand Prix,Stranded car,47,,6,Monza,S,3
2022 Miami Grand Prix,Stranded car,40,47,6,Miami,S,3
2022 Singapore Grand Prix,Stranded car,8,11,3,Marina Bay,S,3
